date,0_control_children_population_percentage,1_working_age_population_percentage,2_labor_force_participation_rate,3_inflation,4_population_not_rec_social_protection,birth_rate
1/1/1973,37.43445492,,,1,,26.995
1/1/1973,27.80618274,,,96.99726532,,21.012
1/1/1973,42.45795934,,,31.48628789,,41.813
1/1/1973,44.59939689,,,22.52964427,,34.166
1/1/1973,43.77682657,,,13.11762452,,39.215
1/1/1973,47.62070239,,,12.94813335,,33.818
1/1/1973,44.81592937,,,12.79689453,,35.72
1/1/1973,43.99545172,,,9.489519534,,40.365
1/1/1973,45.12563891,,,,,34.73
1/1/1973,45.27315472,,,,,34.269
1/1/1973,41.14154998,,,,,33.675
1/1/1973,29.1055728,,,,,23.833
1/1/1974,36.95364085,,,1,,26.171
1/1/1974,27.77290498,,,77.21341378,,20.981
1/1/1974,42.40562543,,,62.83675629,,41.69
1/1/1974,44.41989291,,,25.23331778,,35.531
1/1/1974,44.02341274,,,23.87967742,,33.461
1/1/1974,43.56009512,,,23.32135427,,38.544
1/1/1974,43.77626646,,,16.89166667,,39.845
1/1/1974,47.53066976,,,16.87619568,,32.773
1/1/1974,44.62746532,,,,,34.2
1/1/1974,44.82094526,,,,,33.544
1/1/1974,40.73972103,,,,,33.337
1/1/1974,29.10851938,,,,,24.318
1/1/1975,36.45610277,,,1,,25.44
1/1/1975,27.67333575,,,81.45384674,,20.858
1/1/1975,43.52665837,,,23.6187353,,39.361
1/1/1975,43.46743441,,,23.4375,,32.974
1/1/1975,43.30812459,,,15.36298569,,37.865
1/1/1975,47.45321987,,,8.447328423,,31.79
1/1/1975,42.34027122,,,7.976746255,,41.56
1/1/1975,44.09382858,,,6.693683667,,35.523
1/1/1975,44.05991114,,,,,33.823
1/1/1975,44.46028041,,,,,32.819
1/1/1975,40.29879261,,,,,33.083
1/1/1975,29.15467176,,,,,24.77
1/1/1976,35.89383009,,,1,,24.821
1/1/1976,27.62528995,,,5.623495646,,20.637
1/1/1976,43.35274245,,,33.48327566,,38.863
1/1/1976,42.79053931,,,19.83122363,,32.662
1/1/1976,43.09637896,,,1.671393751,,37.189
1/1/1976,45.89001671,,,1.69538328,,30.933
1/1/1976,42.38513248,,,4.494116477,,41.408
1/1/1976,43.58835203,,,4.474614747,,35.669
1/1/1976,43.45149792,,,,,33.557
1/1/1976,44.05364799,,,,,32.169
1/1/1976,39.91449491,,,,,32.894
1/1/1976,29.3238865,,,,,25.107
1/1/1977,35.35363987,,,91.95413673,,24.307
1/1/1977,27.45352376,,,58.19617522,,20.337
1/1/1977,43.16205458,,,38.54914197,,38.306
1/1/1977,42.24344084,,,33.82816915,,32.437
1/1/1977,42.84187347,,,13.14551798,,36.529
1/1/1977,44.293616,,,9.731132769,,30.242
1/1/1977,43.23560022,,,9.359852917,,35.903
1/1/1977,42.4093042,,,8.172555255,,41.219
1/1/1977,42.84598147,,,,,33.34
1/1/1977,43.71871819,,,,,31.652
1/1/1977,39.51733933,,,,,32.734
1/1/1977,29.56821914,,,,,25.273
1/1/1978,42.93858687,,,57.84878263,,37.662
1/1/1978,27.22852078,,,44.54834367,,19.987
1/1/1978,34.81915248,,,4.872416665,,23.89
1/1/1978,41.75193454,,,17.76315789,,32.223
1/1/1978,42.54968892,,,11.65726358,,35.892
1/1/1978,42.97930616,,,1.662475929,,36.161
1/1/1978,42.41333512,,,1.355672276,,40.983
1/1/1978,42.65624957,,,8.823529412,,29.737
1/1/1978,42.23845618,,,,,33.122
1/1/1978,43.36373965,,,,,31.297
1/1/1978,39.11430157,,,,,32.563
1/1/1978,29.85279463,,,,,25.243
1/1/1979,27.04184325,,,66.84428619,,19.607
1/1/1979,42.65418231,,,66.69442297,,36.934
1/1/1979,34.27123761,,,33.38927244,,23.567
1/1/1979,42.74347047,,,28.16138624,,36.401
1/1/1979,41.21511813,,,24.13478212,,31.98
1/1/1979,42.39061729,,,19.71971678,,40.692
1/1/1979,41.04604764,,,14.84238166,,29.414
1/1/1979,42.2227906,,,1.266256228,,35.287
1/1/1979,41.62811847,,,,,32.877
1/1/1979,42.92332149,,,,,31.097
1/1/1979,38.71867352,,,,,32.351
1/1/1979,30.11825303,,,,,25.017
1/1/1980,26.93222872,,,63.47583431,,19.227
1/1/1980,42.2968503,,,59.14571244,,36.148
1/1/1980,42.33452454,,,47.24165118,,40.341
1/1/1980,33.71036583,,,35.13834781,,23.337
1/1/1980,40.59971014,,,26.55265527,,31.675
1/1/1980,42.49695815,,,22.44733136,,36.582
1/1/1980,39.56921194,,,14.19764497,,29.245
1/1/1980,41.86470288,,,13.48984556,,34.723
1/1/1980,41.02291097,,,,,32.602
1/1/1980,42.38540389,,,,,31
1/1/1980,38.34066328,,,,,32.059
1/1/1980,30.32658495,,,,,24.63
1/1/1981,38.10370073,,,1,,31.655
1/1/1981,42.03197642,,,75.43326876,,35.347
1/1/1981,26.86212367,,,34.45335869,,18.88
1/1/1981,42.37289768,,,32.13361113,,39.931
1/1/1981,40.1405047,,,27.45376956,,31.293
1/1/1981,33.16114388,,,19.68682964,,23.199
1/1/1981,41.53429578,,,16.38747454,,34.204
1/1/1981,42.29939207,,,12.97469747,,36.678
1/1/1981,38.23243652,,,8.793969849,,29.184
1/1/1981,40.58737204,,,,,32.311
1/1/1981,41.70726029,,,,,30.926
1/1/1981,30.62433706,,,,,24.145
1/1/1982,42.35242363,,,1,,39.471
1/1/1982,37.84721408,,,1,,31.135
1/1/1982,41.64301238,,,64.44815854,,34.582
1/1/1982,39.55647817,,,24.72982143,,30.848
1/1/1982,26.82804147,,,18.99251295,,18.589
1/1/1982,41.1779305,,,16.25796959,,33.724
1/1/1982,32.62199983,,,9.941266643,,23.135
1/1/1982,37.23601222,,,7.276486178,,29.164
1/1/1982,42.05477202,,,5.126543713,,36.683
1/1/1982,40.09726618,,,,,32.031
1/1/1982,41.08885037,,,,,30.794
1/1/1982,30.74888597,,,,,23.646
1/1/1983,42.28781737,,,1,,38.976
1/1/1983,37.58419978,,,1,,30.508
1/1/1983,41.18469024,,,1,,33.89
1/1/1983,26.82286613,,,49.19737966,,18.367
1/1/1983,40.79986168,,,48.43387471,,33.272
1/1/1983,32.1060486,,,27.25719845,,23.117
1/1/1983,38.92904775,,,19.59731544,,30.357
1/1/1983,41.80748821,,,13.43375556,,36.598
1/1/1983,36.49028196,,,4.411887455,,29.128
1/1/1983,39.6083466,,,,,31.772
1/1/1983,40.52927795,,,,,30.551
1/1/1983,30.77281489,,,,,23.198
1/1/1984,42.19296176,,,1,,38.456
1/1/1984,37.31768204,,,1,,29.783
1/1/1984,40.73214893,,,1,,33.279
1/1/1984,26.82396342,,,55.34423542,,18.221
1/1/1984,40.40670459,,,31.23239849,,32.841
1/1/1984,41.61656976,,,2.311462546,,36.412
1/1/1984,31.63768731,,,19.8629616,,23.118
1/1/1984,38.36982208,,,16.16161616,,29.823
1/1/1984,35.8578578,,,3.688744528,,29.044
1/1/1984,39.19019967,,,,,31.527
1/1/1984,39.97102754,,,,,30.191
1/1/1984,30.79511902,,,,,22.833
1/1/1985,42.07027232,,,1,,37.923
1/1/1985,37.03933777,,,1,,28.982
1/1/1985,40.32116522,,,1,,32.743
1/1/1985,26.81466366,,,72.22256443,,18.152
1/1/1985,31.23243785,,,3.73529149,,23.101
1/1/1985,40.00625029,,,27.98321626,,32.418
1/1/1985,41.49837165,,,25.21716436,,36.122
1/1/1985,37.92110897,,,24.91771337,,29.255
1/1/1985,35.27175815,,,1.865952984,,28.897
1/1/1985,38.86827203,,,,,31.269
1/1/1985,39.350367,,,,,29.745
1/1/1985,30.85554956,,,,,22.563
1/1/1986,41.98677699,,,1,,37.39
1/1/1986,36.80423991,,,1,,28.134
1/1/1986,39.91841872,,,77.92125547,,32.261
1/1/1986,26.61586559,,,76.38636412,,18.15
1/1/1986,41.45275921,,,31.74259727,,35.731
1/1/1986,39.6635855,,,23.32261144,,31.99
1/1/1986,30.91265838,,,19.47684729,,23.031
1/1/1986,37.54102018,,,18.84246425,,28.671
1/1/1986,35.10150796,,,18.68796688,,28.688
1/1/1986,38.59611503,,,,,30.969
1/1/1986,38.71980054,,,,,29.275
1/1/1986,30.75943529,,,,,22.379
1/1/1987,36.52042271,,,1,,27.278
1/1/1987,39.5868365,,,85.82236238,,31.794
1/1/1987,26.49131171,,,63.56666243,,18.188
1/1/1987,34.72165024,,,53.39295326,,28.443
1/1/1987,39.3097358,,,29.53997249,,31.546
1/1/1987,37.232332,,,23.32311114,,28.086
1/1/1987,41.42379388,,,21.8127436,,35.261
1/1/1987,30.63727629,,,19.88812333,,22.889
1/1/1987,41.86538591,,,14.57869845,,36.864
1/1/1987,38.4260232,,,,,30.602
1/1/1987,37.97752097,,,,,28.858
1/1/1987,30.78393473,,,,,22.239
1/1/1988,39.28145024,,,1,,31.311
1/1/1988,36.19706795,,,1,,26.452
1/1/1988,26.38126043,,,62.19195646,,18.237
1/1/1988,38.94985572,,,58.21628654,,31.08
1/1/1988,36.96700903,,,28.18395324,,27.511
1/1/1988,41.39844695,,,22.59425718,,34.734
1/1/1988,41.70861276,,,16.29154939,,36.353
1/1/1988,30.4028761,,,14.68435257,,22.664
1/1/1988,34.2815752,,,7.313287884,,28.177
1/1/1988,38.30532209,,,,,30.157
